host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
0,4,2,1,1.0,1.0,1.0,2,2,365,10.0,10.0,10.0,10.0,10.0,9.0,0,2
0,4,2,1,1.0,1.0,1.0,2,2,760,10.0,8.0,10.0,10.0,10.0,10.0,0,2
0,3,2,2,1.0,1.0,2.0,6,1,365,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,3,2,3,1.0,1.0,3.0,8,2,30,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,1,1,2,1.0,1.0,1.0,5,7,90,5.0,10.0,10.0,10.0,10.0,10.0,0,1
0,1,1,5,1.0,3.0,4.0,8,1,365,9.0,9.0,9.0,10.0,10.0,9.0,1,3
0,1,2,2,1.0,1.0,1.0,9,1,365,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,1,1,8,1.0,2.0,2.0,10,2,760,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,3,2,3,2.0,1.0,2.0,2,3,200,10.0,10.0,10.0,10.0,10.0,10.0,1,15
0,3,2,3,2.0,1.0,3.0,1,2,1125,9.0,9.0,9.0,10.0,9.0,9.0,1,15
1,1,1,6,2.0,2.0,3.0,6,2,60,10.0,10.0,10.0,10.0,10.0,9.0,1,13
0,2,1,2,1.0,2.0,1.0,5,2,365,10.0,10.0,10.0,10.0,10.0,10.0,0,1
0,2,2,2,1.0,1.0,1.0,4,1,365,5.0,5.0,5.0,5.0,5.0,5.0,0,2
0,3,2,3,2.0,1.0,3.0,1,2,100,9.0,9.0,10.0,10.0,9.0,9.0,1,15
0,3,1,3,1.0,3.0,3.0,5,7,365,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,1,1,3,1.0,1.0,2.0,3,3,800,9.0,10.0,10.0,10.0,10.0,9.0,0,12
